KEY;rZC;iZC;rGAMMA;iGAMMA
25;72.0472579156268;-3.7759656752525217;0.0003940842567016302;0.011529900378046555
50;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
150;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
16;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
3x240Al+150Cu;31.08215828672124;-1.4154789740212443;0.001050205951565362;0.018697648057864714
3x150+150;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3x16+16;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
3x25+25;72.0472579156268;-3.7759656752525217;0.0003940842567016302;0.011529900378046555
3 1/2x150;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3x50 1x50;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
4x10;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
3x10 1x10;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
3x25 1x25;72.0472579156268;-3.7759656752525217;0.0003940842567016302;0.011529900378046555
3x50+50;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
3x150 1x150;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3x95+95;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
4x6;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
3x10+10;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
4x16;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
4x50;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
2x5;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
3 1/2x95;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
4x35;72.0472579156268;-3.7759656752525217;0.0003940842567016302;0.011529900378046555
ISO 4x95 Al 1x10;31.08215828672124;-1.4154789740212443;0.001050205951565362;0.018697648057864714
ISO 4x10;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
4x25;72.0472579156268;-3.7759656752525217;0.0003940842567016302;0.011529900378046555
1x240;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
4x10 AI;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
4(1x240);38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3(1x240);38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3x240+150;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3x240 1x150;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3 1/2x50;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
3 1/2x70;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
3x95 1x50;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
3x95 1x95;68.8575464154881;-1.5977091851203014;0.0003027107897;0.0122790970514741
3x150 1x95;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3 1/2x120;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3x150 1x75;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3x120 1x60;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3x25;72.0472579156268;-3.7759656752525217;0.0003940842567016302;0.011529900378046555
3x16;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
3x10;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
4x150;38.2767506180654;-0.8733595685241;0.0006891191793848477;0.0149196301705621
3x185 1x95 Al;31.08215828672124;-1.4154789740212443;0.001050205951565362;0.018697648057864714
2x10;59.3301;-1.781469899751201;0.0007708717655347;0.013831238337415922
